"long","lat","iso3c","admin_0","admin_1","site","year","study_start_year","study_end_year","x","n","prev","gene","mut","database","pmid","url","source","continent","syear","sitesID"
31.4,0.6,"UGA","Uganda","Central Region","Mubende",NA,2012,NA,2,66,0.0303030303030303,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,307
31.4,0.6,"UGA","Uganda","Central Region","Mubende",NA,2017,NA,1,45,0.0222222222222222,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,307
33.20261,0.44786,"UGA","Uganda","Eastern Region","Jinja",NA,2011,NA,0,78,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/26079933/","University of Alberta","Africa",2011,308
33.20261,0.44786,"UGA","Uganda","Eastern Region","Jinja",NA,2012,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2012,308
33.20261,0.44786,"UGA","Uganda","Eastern Region","Jinja",NA,2012,NA,0,99,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,308
33.20261,0.44786,"UGA","Uganda","Eastern Region","Jinja",NA,2013,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2013,308
33.20261,0.44786,"UGA","Uganda","Eastern Region","Jinja",NA,2015,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2015,308
33.20261,0.44786,"UGA","Uganda","Eastern Region","Jinja",NA,2017,NA,0,48,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,308
34.02611,0.77,"UGA","Uganda","Eastern Region","Nagongera",NA,2012,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2012,309
34.02611,0.77,"UGA","Uganda","Eastern Region","Nagongera",NA,2013,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2013,309
34.02611,0.77,"UGA","Uganda","Eastern Region","Nagongera",NA,2015,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2015,309
34.18657,0.67823,"UGA","Uganda","Eastern Region","Tororo",NA,2010,NA,0,133,0,"k13","k13_valid","WHO","25144768","http://www.ncbi.nlm.nih.gov/pubmed/25144768","Department of Medicine, University of California San Francisco","Africa",2010,310
34.18657,0.67823,"UGA","Uganda","Eastern Region","Tororo",NA,2010,NA,0,133,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/25144768/","Department of Medicine, University of California San Francisco","Africa",2010,310
34.18657,0.67823,"UGA","Uganda","Eastern Region","Tororo",NA,2012,NA,0,303,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,310
34.18657,0.67823,"UGA","Uganda","Eastern Region","Tororo",NA,2014,NA,0,116,0,"k13","k13_valid","WHO","30967148","https://www.ncbi.nlm.nih.gov/pubmed/30967148","Medicines for Malaria Venture","Africa",2014,310
34.18657,0.67823,"UGA","Uganda","Eastern Region","Tororo",NA,2016,NA,0,56,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28923866/","Department of Natural Sciences and Mathematics, Dominican University of California","Africa",2016,310
34.18657,0.67823,"UGA","Uganda","Eastern Region","Tororo",NA,2017,NA,1,48,0.0208333333333333,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,310
33.33333,2.83333,"UGA","Uganda","Northern Region","Agago",NA,2017,NA,5,42,0.119047619047619,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,311
32.83333,1.63333,"UGA","Uganda","Northern Region","Amolatar",NA,2017,NA,0,48,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,312
32.53445,1.98509,"UGA","Uganda","Northern Region","Apac",NA,2012,NA,0,19,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,313
30.91083,3.03528,"UGA","Uganda","Northern Region","Arua",NA,2012,NA,1,40,0.025,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,314
30.91083,3.03528,"UGA","Uganda","Northern Region","Arua",NA,2017,NA,1,43,0.0232558139534884,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,314
32.29917,2.78167,"UGA","Uganda","Northern Region","Gulu",NA,2014,NA,0,143,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28068997/","Division of Malaria Research, Proteo-Science Center, Ehime University","Africa",2014,315
32.29917,2.78167,"UGA","Uganda","Northern Region","Gulu",NA,2014,NA,2,184,0.0108695652173913,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/29553316/","Juntendo University School of Medicine","Africa",2014,315
32.61042,2.30201,"UGA","Uganda","Northern Region","Kole",NA,2017,NA,3,47,0.0638297872340425,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,316
32.61042,2.30201,"UGA","Uganda","Northern Region","Kole",NA,2018,NA,0,45,0,"k13","k13_valid","WHO",NA,NA,"Caramal Project","Africa",2018,316
32.61042,2.30201,"UGA","Uganda","Northern Region","Kole",NA,2020,NA,10,86,0.116279069767442,"k13","k13_valid","WHO",NA,NA,"Caramal Project","Africa",2020,316
32.60201,1.88795,"UGA","Uganda","Northern Region","Kwania",NA,2018,NA,0,32,0,"k13","k13_valid","WHO",NA,NA,"Caramal Project","Africa",2018,317
32.60201,1.88795,"UGA","Uganda","Northern Region","Kwania",NA,2020,NA,0,36,0,"k13","k13_valid","WHO",NA,NA,"Caramal Project","Africa",2020,317
32.8,3.53333,"UGA","Uganda","Northern Region","Lamwo",NA,2017,NA,8,43,0.186046511627907,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,318
32.60792,2.65574,"UGA","Uganda","Northern Region","Lira and Gulu",NA,2013,NA,0,60,0,"k13","k13_valid","WHO","27543172","http://www.ncbi.nlm.nih.gov/pubmed/27543172","Department of Pharmacology and Therapeutics, Makerere University","Africa",2013,319
32.38522,2.34914,"UGA","Uganda","Northern Region","Oyam",NA,2018,NA,0,32,0,"k13","k13_valid","WHO",NA,NA,"Caramal Project","Africa",2018,320
32.38522,2.34914,"UGA","Uganda","Northern Region","Oyam",NA,2020,NA,15,81,0.185185185185185,"k13","k13_valid","WHO",NA,NA,"Caramal Project","Africa",2020,320
29.7426,-0.81953,"UGA","Uganda","Western Region","Kanungu",NA,2012,NA,0,118,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,321
29.7426,-0.81953,"UGA","Uganda","Western Region","Kanungu",NA,2017,NA,0,48,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/30559133/","Infectious Diseases Research Collaboration","Africa",2017,321
29.70028,-0.74889,"UGA","Uganda","Western Region","Kihihi",NA,2012,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2012,322
29.70028,-0.74889,"UGA","Uganda","Western Region","Kihihi",NA,2013,NA,0,24,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/32355199/","Medical Research Council Centre for Global Infectious Disease Analysis, Imperial College London","Africa",2013,322
29.70028,-0.74889,"UGA","Uganda","Western Region","Kihihi",NA,2015,NA,0,17,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28039354/","Infectious Diseases Research Collaboration","Africa",2015,322
30.6545,-0.60716,"UGA","Uganda","Western Region","Mbarara",NA,2010,NA,0,191,0,"k13","k13_valid","WHO","27332904","http://www.ncbi.nlm.nih.gov/pubmed/27332904","Epicentre Research Centre","Africa",2010,323
30.6545,-0.60716,"UGA","Uganda","Western Region","Mbarara",NA,2011,NA,0,7,0,"k13","k13_valid","WHO","27332904","http://www.ncbi.nlm.nih.gov/pubmed/27332904","Epicentre Research Centre","Africa",2011,323
30.6545,-0.60716,"UGA","Uganda","Western Region","Mbarara",NA,2012,NA,0,34,0,"k13","k13_valid","WHO","27332904","http://www.ncbi.nlm.nih.gov/pubmed/27332904","Epicentre Research Centre","Africa",2012,323
30.6545,-0.60716,"UGA","Uganda","Western Region","Mbarara",NA,2013,NA,0,36,0,"k13","k13_valid","WHO","27332904","http://www.ncbi.nlm.nih.gov/pubmed/27332904","Epicentre Research Centre","Africa",2013,323
32.33427,0.84017,"UGA","Uganda",NA,"Cases imported from Uganda to China",NA,2011,NA,0,5,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/29941645/","Hubei University of Medicine","Africa",2011,324
32.33427,0.84017,"UGA","Uganda",NA,"Cases imported from Uganda to China",NA,2012,NA,0,4,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/28797235/","Henan Province Center for Disease Control and Prevention","Africa",2012,324
32.33427,0.84017,"UGA","Uganda",NA,"Cases imported from Uganda to China",NA,2012,NA,0,11,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/32677899/","Guizhou Medical University","Africa",2012,324
32.33427,0.84017,"UGA","Uganda",NA,"Cases imported from Uganda to China",NA,2012,NA,0,8,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/33549122/","National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Chinese Center for Tropical Diseases Research, WHO Collaborating Center for Tropical Diseases, National Centre for International Research On Tropical Diseases, Ministry of Science and Technology, Key Laboratory of Parasite and Vector Biology, Ministry of Health China","Africa",2012,324
32.33427,0.84017,"UGA","Uganda",NA,"Cases imported from Uganda to China",NA,2014,NA,0,4,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31619243/","Institute of Parasitic Disease Prevention and Control, Guangxi Zhuang Autonomous Region Center for Disease Control and Prevention","Africa",2014,324
32.33427,0.84017,"UGA","Uganda",NA,"Cases imported from Uganda to China",NA,2016,NA,0,11,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/32019571/","National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Key Laboratory of Parasite and Vector Biology, Schistosomiasis and Filariasis, MOH, and WHO Collaborating Centre for Malaria","Africa",2016,324
32.75446,1.24238,"UGA","Uganda",NA,"Cases imported from Uganda to Italy",NA,2014,NA,0,1,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/33295621/","Department of Infectious, Parasitic and Immunomediated Diseases, Istituto Superiore di Sanità","Africa",2014,325
33.2,0.41667,"UGA","Uganda",NA,"Eastern Region",NA,2018,NA,0,319,0,"k13","k13_valid","WHO",NA,NA,"National Malaria Control Division, Ministry of Health","Africa",2018,326
32.58252,0.3476,"UGA","Uganda",NA,"Kampala",NA,2012,NA,0,65,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/31358588/","Department of Medicine, University of California San Francisco","Africa",2012,327
32.58252,0.3476,"UGA","Uganda",NA,"Kampala",NA,2014,NA,0,53,0,"k13","k13_valid","WHO","26033725","http://www.ncbi.nlm.nih.gov/pubmed/26033725","Department of Natural Sciences and Mathematics, Dominican University of California","Africa",2014,327
32.58252,0.3476,"UGA","Uganda",NA,"Kampala",NA,2014,NA,0,53,0,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/26033725/","Department of Natural Sciences and Mathematics, Dominican University of California","Africa",2014,327
32.25876,0.82739,"UGA","Uganda",NA,"Multiple sites",NA,2018,NA,80,796,0.100502512562814,"k13","k13_valid","WHO","37611122","http://www.ncbi.nlm.nih.gov/pubmed/37611122","Department of Medicine, University of California San Francisco","Africa",2018,328
32.25876,0.82739,"UGA","Uganda",NA,"Multiple sites",NA,2018,NA,21,432,0.0486111111111111,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/33146722/","Department of Medicine, University of California San Francisco","Africa",2018,328
32.25876,0.82739,"UGA","Uganda",NA,"Multiple sites",NA,2019,NA,57,482,0.118257261410788,"k13","k13_valid","WHO",NA,"https://pubmed.ncbi.nlm.nih.gov/33146722/","Department of Medicine, University of California San Francisco","Africa",2019,328
32.5718422248767,2.11937445464845,"UGA","Uganda","Apac","Pf7k Study: 1024-PF-UG-BOUSEMA","2010",NA,NA,0,12,0,"k13","k13_valid","Pf7k","36864926","https://pubmed.ncbi.nlm.nih.gov/36864926/",NA,"Africa",2010,347
33.3305549621582,2.98472189903259,"UGA","Uganda","Agago","Agago","2017",NA,NA,4,42,0.0952380952380952,"k13","k13_valid","WWARN","30559133","https://pubmed.ncbi.nlm.nih.gov/30559133","Asua V, Vinden J, Conrad MD, Legac J, Kigozi SP, Kamya MR, Dorsey G, Nsobya SL, Rosenthal PJ","Africa",2017,608
33.3305549621582,2.98472189903259,"UGA","Uganda","Agago","Agago","2018",NA,NA,4,30,0.133333333333333,"k13","k13_valid","WWARN","33146722","https://pubmed.ncbi.nlm.nih.gov/33146722","Asua V, Conrad MD, Aydemir O, Duvalsaint M, Legac J, Duarte E, Tumwebaze P, Chin DM, Cooper RA, Yeka A, Kamya MR, Dorsey G, Nsobya SL, Bailey J, Rosenthal PJ","Africa",2018,608
33.3305549621582,2.98472189903259,"UGA","Uganda","Agago","Agago","2021",NA,NA,25,53,0.471698113207547,"k13","k13_valid","WWARN","36289202","https://pubmed.ncbi.nlm.nih.gov/36289202","Tumwebaze PK, Conrad MD, Okitwi M, Orena S, Byaruhanga O, Katairo T, Legac J, Garg S, Giesbrecht D, Smith SR, Ceja FG, Nsobya SL, Bailey JA, Cooper RA, Rosenthal PJ","Africa",2021,608
32.8333320617676,1.63333296775818,"UGA","Uganda","Amolatar","Amolatar","2017",NA,NA,0,48,0,"k13","k13_valid","WWARN","30559133","https://pubmed.ncbi.nlm.nih.gov/30559133","Asua V, Vinden J, Conrad MD, Legac J, Kigozi SP, Kamya MR, Dorsey G, Nsobya SL, Rosenthal PJ","Africa",2017,609
32.8333320617676,1.63333296775818,"UGA","Uganda","Amolatar","Amolatar","2018",NA,NA,0,16,0,"k13","k13_valid","WWARN","33146722","https://pubmed.ncbi.nlm.nih.gov/33146722","Asua V, Conrad MD, Aydemir O, Duvalsaint M, Legac J, Duarte E, Tumwebaze P, Chin DM, Cooper RA, Yeka A, Kamya MR, Dorsey G, Nsobya SL, Bailey J, Rosenthal PJ","Africa",2018,609
32.8333320617676,1.63333296775818,"UGA","Uganda","Amolatar","Amolatar","2019",NA,NA,1,17,0.0588235294117647,"k13","k13_valid","WWARN","33146722","https://pubmed.ncbi.nlm.nih.gov/33146722","Asua V, Conrad MD, Aydemir O, Duvalsaint M, Legac J, Duarte E, Tumwebaze P, Chin DM, Cooper RA, Yeka A, Kamya MR, Dorsey G, Nsobya SL, Bailey J, Rosenthal PJ","Africa",2019,609
32.7205467224121,2.01838493347168,"UGA","Uganda","Apac","Aduku","2018",NA,NA,0,42,0,"k13","k13_valid","WWARN",NA,NA,"Sam L Nsobya , Victor Asua , Chris Ebong , Moses Kiggundu , Samuel Gonahasa , Sam Gudoi , James Tibenderana , Agaba Bosco , Dennis Rubahika , Daniel Kyabayinze , Jimmy Opigo , Damian Rutazana , Gloria Sebikaari , Kassahun Belay , Mame Niang , Eric S. Halsey , Leah F. Moriarty , Samaly S. Svigel , Naomi W.Lucchi , Adoke Yeka , Moses R. Kamya , Venkatachalam Udhayakumar","Africa",2018,610
32.5339088439941,1.98434996604919,"UGA","Uganda","Apac","Apac","2012",NA,NA,0,133,0,"k13","k13_valid","WWARN","25144768","https://pubmed.ncbi.nlm.nih.gov/25144768","Polymorphisms in K13 and falcipain-2 associated with artemisinin resistance are not prevalent in Plasmodium falciparum isolated from Ugandan children.","Africa",2012,611
30.9099998474121,3.02999997138977,"UGA","Uganda","Arua","Arua","2017",NA,NA,1,43,0.0232558139534884,"k13","k13_valid","WWARN","30559133","https://pubmed.ncbi.nlm.nih.gov/30559133","Asua V, Vinden J, Conrad MD, Legac J, Kigozi SP, Kamya MR, Dorsey G, Nsobya SL, Rosenthal PJ","Africa",2017,612
30.9099998474121,3.02999997138977,"UGA","Uganda","Arua","Arua","2018",NA,NA,0,24,0,"k13","k13_valid","WWARN","33146722","https://pubmed.ncbi.nlm.nih.gov/33146722","Asua V, Conrad MD, Aydemir O, Duvalsaint M, Legac J, Duarte E, Tumwebaze P, Chin DM, Cooper RA, Yeka A, Kamya MR, Dorsey G, Nsobya SL, Bailey J, Rosenthal PJ","Africa",2018,612
30.9099998474121,3.02999997138977,"UGA","Uganda","Arua","Arua","2018",NA,NA,0,59,0,"k13","k13_valid","WWARN",NA,NA,"Sam L Nsobya , Victor Asua , Chris Ebong , Moses Kiggundu , Samuel Gonahasa , Sam Gudoi , James Tibenderana , Agaba Bosco , Dennis Rubahika , Daniel Kyabayinze , Jimmy Opigo , Damian Rutazana , Gloria Sebikaari , Kassahun Belay , Mame Niang , Eric S. Halsey , Leah F. Moriarty , Samaly S. Svigel , Naomi W.Lucchi , Adoke Yeka , Moses R. Kamya , Venkatachalam Udhayakumar","Africa",2018,612
30.9099998474121,3.02999997138977,"UGA","Uganda","Arua","Arua","2019",NA,NA,1,34,0.0294117647058824,"k13","k13_valid","WWARN","33146722","https://pubmed.ncbi.nlm.nih.gov/33146722","Asua V, Conrad MD, Aydemir O, Duvalsaint M, Legac J, Duarte E, Tumwebaze P, Chin DM, Cooper RA, Yeka A, Kamya MR, Dorsey G, Nsobya SL, Bailey J, Rosenthal PJ","Africa",2019,612
